Pipeline Type,Cause Category,Unintentional Release (Barrels)
ABOVEGROUND,INCORRECT OPERATION,14
UNDERGROUND,CORROSION,0.38
UNDERGROUND,CORROSION,100
ABOVEGROUND,ALL OTHER CAUSES,0.6
ABOVEGROUND,CORROSION,1.43
UNDERGROUND,EXCAVATION DAMAGE,6
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,ALL OTHER CAUSES,0.02
TANK,INCORRECT OPERATION,10
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3283
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.48
ABOVEGROUND,ALL OTHER CAUSES,4.46
TANK,MATERIAL/WELD/EQUIP FAILURE,3
UNDERGROUND,CORROSION,2
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.71
,,
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3.6
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.12
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
ABOVEGROUND,INCORRECT OPERATION,382
ABOVEGROUND,INCORRECT OPERATION,0.85
ABOVEGROUND,INCORRECT OPERATION,0.85
TANK,MATERIAL/WELD/EQUIP FAILURE,0.37
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,7538
UNDERGROUND,INCORRECT OPERATION,0.24
TANK,CORROSION,0.24
TANK,MATERIAL/WELD/EQUIP FAILURE,161
ABOVEGROUND,INCORRECT OPERATION,189
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
UNDERGROUND,ALL OTHER CAUSES,1.7
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.83
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.71
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,87
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,200
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,INCORRECT OPERATION,0.24
ABOVEGROUND,INCORRECT OPERATION,2
ABOVEGROUND,INCORRECT OPERATION,1
UNDERGROUND,EXCAVATION DAMAGE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
UNDERGROUND,CORROSION,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,100
TANK,MATERIAL/WELD/EQUIP FAILURE,10200
