Accident Year,Accident State,Unintentional Release (Barrels)
2011,KS,95
2011,CA,4.1
2011,TX,0.14
2011,KS,12
2011,ND,400
2011,OH,60
2011,TX,1
2011,IA,0.24
2011,MI,5
2011,IL,100
2011,OH,2.4
2011,IL,2
2011,OH,0.08
2011,KS,15
2011,OK,121
2011,TX,1
2011,CA,4
2011,IL,4
2011,KS,8.5
2011,MI,1.3
2011,TX,0.25
2011,TX,0.5
2011,IA,0.35
2011,IA,1
2011,GA,3.09
2011,TX,6
2011,TX,12229
2011,KS,0.36
2011,IA,4
2011,TX,0.42
2011,CA,0.24
2011,OK,0.23
2011,TX,1
2011,,0.02
2011,TX,20
2011,MS,0.8
2011,PA,0.4
2011,TX,33
2011,OK,4.88
2011,OH,100
2011,LA,0.89
2011,TX,12
2011,TX,50
2011,TX,1
2011,OK,19
2011,TX,275
2011,NJ,0.23
2011,CA,4
2011,TX,2.3
2011,NE,3
2011,CA,20
2011,TX,0.14
2011,LA,1
2011,MT,1509
2011,TX,29.4
2011,SD,0.48
2011,OK,3.44
2011,KS,10
2011,OK,0.6
2011,TX,0.28
2011,IL,0.9
2011,TX,70
2011,TX,0.38
2011,NE,100
2011,TX,2.6
2011,OK,0.74
2011,LA,2
2011,TX,1967
2011,IA,0.27
2011,OK,0.23
2011,TX,1.19
2011,TX,1.5
2011,FL,803
2011,KS,35
2011,TX,123
2011,KY,0.52
2011,TX,3
2011,TX,15
2011,OK,0.24
2011,LA,0.28
2011,KS,27
2011,CA,1
2011,CA,2
2011,CA,35
2011,TX,131
2011,IL,3.26
2011,NE,3.57
2011,CA,0.35
2011,MS,8.54
2011,CA,0.7
2011,IL,0.14
2011,TX,1
2011,TX,1
2011,TX,5
2011,TX,928.5
2011,IA,675
2011,IL,20
2011,WI,0.95
2011,CA,2
2011,OK,4.5
2011,OH,0.23
2011,LA,18.7
2011,TX,250
2011,TX,20
2011,IA,0.2
2011,OK,19.86
2011,CA,38
2011,IA,0.24
2011,CA,5
2011,TX,0.5
2011,CA,56
2011,IL,0.2
2011,TX,4
2011,TX,2
2011,KS,1
2011,SD,0.71
2011,TX,4
2011,CA,0.48
2011,TX,4.7
2011,TX,560
2011,TX,12836
2011,NJ,2
2011,CA,0.24
2011,KS,0.17
2011,,0.09
2011,TX,500
2011,OK,1.7
2011,TX,0.24
2011,TX,0.35
2011,OK,2
2011,WA,0.29
2011,WY,96
2011,NY,23
2011,NY,595
2011,LA,3.43
2011,TX,80
2011,TX,0.5
2011,WY,0.48
2011,ND,20
2011,WI,15
2011,PA,78
2011,SD,2.62
2011,IL,10
2011,TX,10
2011,CA,41
2011,NJ,1
2011,TX,0.5
2011,OK,25
2011,KS,590
2011,TX,0.16
2011,KS,0.48
2011,OK,17
2011,OK,3299
2011,TX,210
2011,IL,5.95
2011,TX,1
2011,IN,398
2011,TX,0.12
2011,OK,0.35
2011,OK,3
2011,SC,0.45
2011,TX,73
2011,IL,0.48
2011,OK,5
2011,TX,0.35
2011,GA,23
2011,TX,4
2011,CA,3
2011,IN,9.5
2011,TX,6
2011,OK,0.23
2011,NJ,0.25
2011,TX,0.48
2011,TX,80
2011,IL,5648
2011,CA,45
2011,LA,0.23
2011,MN,10
2011,LA,0.95
2011,OK,0.47
2011,TX,1.5
2011,ND,200
2011,TX,90
2011,WY,1958
2011,TX,1330
2011,TX,2490
2011,OK,140
2011,IL,16.6
2011,MN,0.48
2011,NJ,1.19
2011,IL,0.01
2011,LA,85
2011,TX,100
2011,TX,1855
2011,TX,0.36
2011,TX,5
2011,CA,0.02
2011,TX,0.12
2011,TX,10
2011,AL,69
2011,ND,800
2011,IA,0.24
2011,TX,31
2011,TX,1
2011,NM,0
2011,OK,360
2011,ND,1000
2011,LA,3.06
2011,NE,650
2011,NE,2184
2011,TX,0.71
2011,TX,0.23
2011,CA,0.5
2011,NC,3.3
2011,OK,250
2011,SC,22
2011,TX,1
2011,TX,2.5
2011,MO,0.83
2011,TX,2
2011,TX,3283
2011,TX,0
2011,TX,0.23
2011,TX,2
2011,KS,150
2012,OK,33.79
2012,WY,1.5
2012,TX,117
2012,TX,0.12
2012,LA,0.5
2012,TX,2
2012,CA,0.84
2012,OK,0.14
2012,OH,1950
2012,GA,0.31
