Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
ENTERPRISE CRUDE PIPELINE LLC,12,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,0.24,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.48,0
CHEVRON PIPE LINE CO,13,2
MOBIL CORP,20,0
"KINDER MORGAN LIQUID TERMINALS, LLC",4,0
JAYHAWK PIPELINE LLC,6,8.7
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",2,18
ENBRIDGE PIPELINES (TOLEDO) INC,0.24,0
KINDER MORGAN CO2 CO. LP,0,4.83
PLANTATION PIPE LINE CO,0.79,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.45
MARATHON PIPE LINE LLC,0,0
SUNOCO PIPELINE L.P.,0,25
"KINDER MORGAN LIQUID TERMINALS, LLC",1100,0
EXXONMOBIL PIPELINE CO,0.74,0
PHILLIPS 66 PIPELINE LLC,8.5,0
SUNOCO PIPELINE L.P.,0,0.36
"PLAINS PIPELINE, L.P.",122,0
ENERGY TRANSFER COMPANY,0,9
SUNOCO PIPELINE L.P.,0,25
SUNOCO PIPELINE L.P.,1,2
"PLAINS PIPELINE, L.P.",15,0
SUNOCO PIPELINE L.P.,6.5,0.5
"KINDER MORGAN LIQUID TERMINALS, LLC",2,0
SUNOCO PIPELINE L.P.,2,13
ENTERPRISE CRUDE PIPELINE LLC,0.25,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.48
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,5.95,0
PHILLIPS 66 PIPELINE LLC,37.8,15.5
MARATHON PIPE LINE LLC,0,3.4
MARATHON PIPE LINE LLC,0,0.3
SUNOCO PIPELINE L.P.,0,0.3
"MAGELLAN PIPELINE COMPANY, LP",0.5,0.3
ENTERPRISE PRODUCTS OPERATING LLC,0,20
"MAGELLAN PIPELINE COMPANY, LP",24,1
BELLE FOURCHE PIPELINE CO,285,15
MOTIVA ENTERPRISE LLC,1,0
EXXONMOBIL PIPELINE CO,0.87,0
COLONIAL PIPELINE CO,0.6,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1.21,0
ENTERPRISE PRODUCTS OPERATING LLC,3,0
PHILLIPS 66 PIPELINE LLC,0.43,0
WEST TEXAS GULF PIPELINE CO,0,0.1
COLLINS PIPELINE CO,0,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.01
MARATHON PIPE LINE LLC,1.33,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,0.36,0
MARATHON PIPE LINE LLC,0.7,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,1.57
SUNOCO PIPELINE L.P.,500,50
CYPRESS INTERSTATE PIPELINE LLC,0,37.16
ENTERPRISE CRUDE PIPELINE LLC,10,0
BP WEST COAST PRODUCTS L.L.C.,0.36,0
SUNOCO PIPELINE L.P.,75,0
JAYHAWK PIPELINE LLC,0,0.9
MARATHON PIPE LINE LLC,0,3
"MAGELLAN PIPELINE COMPANY, LP",1,0
ENTERPRISE CRUDE PIPELINE LLC,1,0.5
KINDER MORGAN PIPELINES (USA) INC,0.3,0
EXXONMOBIL PIPELINE CO,0.78,0
"SHELL PIPELINE CO., L.P.",1,0
MCCAIN PIPELINE COMPANY,140,50.76
TC OIL PIPELINE OPERATIONS INC,0.47,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"LION OIL TRADING & TRANSPORTATION, INC",5300,300
SUNOCO PIPELINE L.P.,12,38
SUNOCO PIPELINE L.P.,20,17.5
CHEVRON MIDSTREAM PIPELINES LLC,0,23702
"MAGELLAN PIPELINE COMPANY, LP",10,0
ENTERPRISE CRUDE PIPELINE LLC,1,2
CHEVRON PIPE LINE CO,499,0
SUNOCO PIPELINE L.P.,160,140
MOTIVA ENTERPRISE LLC,8,0
"BUCKEYE PARTNERS, LP",198,57
MID - VALLEY PIPELINE CO,18,2
ENERGY TRANSFER COMPANY,0,5.88
"SHELL PIPELINE CO., L.P.",525,415
MOBIL  PIPE  LINE COMPANY,2100,1090
"KOCH PIPELINE COMPANY, L.P.",0,1.6
"PLAINS PIPELINE, L.P.",10,0
"KOCH PIPELINE COMPANY, L.P.",0.65,0.06
PHILLIPS 66 PIPELINE LLC,2.3,0
MARATHON PIPE LINE LLC,1.1,0
"BUCKEYE PARTNERS, LP",1,1.39
ENTERPRISE PRODUCTS OPERATING LLC,35,65
COLONIAL PIPELINE CO,3.42,0
EXPLORER PIPELINE CO,1.19,0
"PLAINS PIPELINE, L.P.",1,0
ENTERPRISE CRUDE PIPELINE LLC,0,0.2
SUNOCO PIPELINE L.P.,0.25,0.75
"BUCKEYE PARTNERS, LP",0.01,0
ENTERPRISE CRUDE PIPELINE LLC,0,1
EXXONMOBIL OIL CORP - WEST COAST,1.3,0
"PETROLOGISTICS OLEFINS, LLC",0,9
"BUCKEYE PARTNERS, LP",0.24,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
ENTERPRISE CRUDE PIPELINE LLC,52,0
"CCPS TRANSPORTATION, LLC",0.17,0.07
MCCAIN PIPELINE COMPANY,1,0
EXPLORER PIPELINE CO,30,0
"BUCKEYE PARTNERS, LP",0.95,0
COLONIAL PIPELINE CO,0.1,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,5
"NUSTAR LOGISTICS, L.P.",16.1,0
"OILTANKING, HOUSTON LP",50,0
CITGO PETROLEUM CORPORATION (REFINERY),0,2.9
"BUCKEYE PARTNERS, LP",0.12,0
ROSE ROCK MIDSTREAM L.P.,1,2
"MAGELLAN TERMINALS HOLDINGS, LP",5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.59,0
MARATHON PIPE LINE LLC,0.7,0
ENTERPRISE CRUDE PIPELINE LLC,2,1
EXPLORER PIPELINE CO,0.28,0
SUNOCO PIPELINE L.P.,0,4
"BUCKEYE PARTNERS, LP",0.24,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",33.33,0
MARATHON PIPE LINE LLC,0.2,0
"PLAINS PIPELINE, L.P.",2,0
MID - VALLEY PIPELINE CO,0.36,0
MOBIL  PIPE  LINE COMPANY,1.3,0
KINDER MORGAN COCHIN LLC,0,253
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,1.5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.83,0
EXXONMOBIL PIPELINE CO,0.57,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.6,0
COLONIAL PIPELINE CO,0.2,0
COLONIAL PIPELINE CO,4.1,0.4
"SHELL PIPELINE CO., L.P.",0.69,0
ENTERPRISE CRUDE PIPELINE LLC,0,0.48
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.92
ENTERPRISE CRUDE PIPELINE LLC,2,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,1,0
SUNOCO PIPELINE L.P.,0.5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,1
WEST TEXAS GULF PIPELINE CO,0,1
MARATHON PIPE LINE LLC,539,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
"BUCKEYE PARTNERS, LP",0.5,0.5
LOOP LLC,7.6,0
SUNOCO PIPELINE L.P.,1.5,0.5
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.38
ENTERPRISE PRODUCTS OPERATING LLC,0,1
COLONIAL PIPELINE CO,4.1,0
MID - VALLEY PIPELINE CO,0.23,0
"HARVEST-MARKS PIPELINE, LLC",55,70
MARATHON PIPE LINE LLC,0,0.7
PHILLIPS 66 PIPELINE LLC,0.27,0
"BUCKEYE PARTNERS, LP",0.75,0.61
"MAGELLAN AMMONIA PIPELINE, L.P.",0,2.39
ENBRIDGE PIPELINES (OZARK) L.L.C.,2071,175
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
"PLAINS MARKETING, L.P.",2,0
SUNOCO PIPELINE L.P.,5.3,0
ROSE ROCK MIDSTREAM L.P.,1,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
"KINDER MORGAN LIQUID TERMINALS, LLC",3,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.6,0
ENTERPRISE CRUDE PIPELINE LLC,0.7,0
SINCLAIR TRANSPORTATION COMPANY,0.5,0
MARATHON PIPE LINE LLC,0.2,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
DCP MIDSTREAM,0,0.8
DOUBLE EAGLE PIPELINE LLC,0.4,0
CHEVRON PIPE LINE CO,10,0
ENTERPRISE PRODUCTS OPERATING LLC,0,200
BELLE FOURCHE PIPELINE CO,130,5
"MAGELLAN PIPELINE COMPANY, LP",0.74,0
CITGO PRODUCTS PIPELINE CO,42,158
JAYHAWK PIPELINE LLC,0,3.7
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0,0.48
ENTERPRISE CRUDE PIPELINE LLC,0.71,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.6,0
WEST TEXAS GULF PIPELINE CO,7,0
WEST TEXAS GULF PIPELINE CO,1,0
TRANSPETCO TRANSPORT CO.,0,26
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",1119,3034
ALYESKA PIPELINE SERVICE CO,0.52,0
EXXONMOBIL OIL CORP - WEST COAST,15.5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.24,0.24
COLONIAL PIPELINE CO,2.2,0
MARATHON PIPE LINE LLC,0.2,0
WEST TEXAS GULF PIPELINE CO,0.48,0
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
COLONIAL PIPELINE CO,0.3,0
COLONIAL PIPELINE CO,1.83,0
COLONIAL PIPELINE CO,0.1,0.3
"PLAINS PIPELINE, L.P.",20,0
SUNOCO PIPELINE L.P.,90,60
VALERO TERMINALING AND DISTRIBUTION COMPANY,21,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,1
ROSE ROCK MIDSTREAM L.P.,84,1
"KINDER MORGAN LIQUID TERMINALS, LLC",0.28,0
CHEVRON U.S.A. INC,0,0.01
"PLAINS PIPELINE, L.P.",220,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,18.18
"MAGELLAN AMMONIA PIPELINE, L.P.",0,5
PHILLIPS 66 PIPELINE LLC,11,400
"KOCH PIPELINE COMPANY, L.P.",1.6,0
"MAGELLAN PIPELINE COMPANY, LP",0.47,0
CENEX PIPELINE LLC,820,50
EXPLORER PIPELINE CO,2,0
JAYHAWK PIPELINE LLC,0,0.9
PHILLIPS 66 PIPELINE LLC,0.34,0
"MAGELLAN PIPELINE COMPANY, LP",1,0
SUNOCO PIPELINE L.P.,0.1,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.02
ENTERPRISE PRODUCTS OPERATING LLC,1.9,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,2,0
COLONIAL PIPELINE CO,5.9,0.8
"NUSTAR LOGISTICS, L.P.",1,0
CHEVRON PETROCHEMICAL PIPELINE LLC,0,0
"PLAINS PIPELINE, L.P.",4,0
"CCPS TRANSPORTATION, LLC",2,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",3.33,0
ENTERPRISE CRUDE PIPELINE LLC,50,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,0.25,0
THE DOW CHEMICAL COMPANY,0.2,0
"PLAINS PIPELINE, L.P.",125,0
KINDER MORGAN COCHIN LLC,0,0
BP PIPELINE (NORTH AMERICA) INC.,535,0
ENTERPRISE PRODUCTS OPERATING LLC,1.2,0
KINDER MORGAN CO2 CO. LP,0,2.8
TESORO HIGH PLAINS PIPELINE COMPANY LLC,5856,14744
COLONIAL PIPELINE CO,28.4,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.47,0
"PLAINS PIPELINE, L.P.",2,0
ENERGY TRANSFER COMPANY,0,12.5
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"PETROLOGISTICS OLEFINS, LLC",0,5
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
"KINDER MORGAN LIQUID TERMINALS, LLC",80,0
EXXONMOBIL OIL CORP - WEST COAST,10.65,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",160,0
ENTERPRISE PRODUCTS OPERATING LLC,0.7,0
TESORO LOGISTICS OPERATIONS LLC - SOUTHERN CALIFORNIA,130,0
"KOCH PIPELINE COMPANY, L.P.",0.24,0
MID - VALLEY PIPELINE CO,2,0
"BUCKEYE PARTNERS, LP",2.5,0
"SFPP, LP",1.36,0
SUNOCO PIPELINE L.P.,0,0.5
EXXONMOBIL PIPELINE CO,0.48,0
COLONIAL PIPELINE CO,0.6,0
ENTERPRISE PRODUCTS OPERATING LLC,0,18400
"MAGELLAN PIPELINE COMPANY, LP",7.6,0
"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",0,11405
"BUCKEYE PARTNERS, LP",1.83,0.02
TESORO HIGH PLAINS PIPELINE COMPANY LLC,118,0
EXPLORER PIPELINE CO,0.38,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,5.23
"PLAINS PIPELINE, L.P.",6,0
PHILLIPS 66 PIPELINE LLC,490,1
SUNOCO PIPELINE L.P.,0.95,0
DCP MIDSTREAM,0,12
HOUSTON REFINING LP.,10,0
"KINDER MORGAN LIQUID TERMINALS, LLC",6,0
"MAGELLAN PIPELINE COMPANY, LP",0.47,0
ENTERPRISE PRODUCTS OPERATING LLC,0.6,0
"MAGELLAN PIPELINE COMPANY, LP",0,17
MARATHON PIPE LINE LLC,273,0
"MAGELLAN PIPELINE COMPANY, LP",1,0
"PLAINS PIPELINE, L.P.",0.5,0
"BUCKEYE PARTNERS, LP",0.69,0.12
"NUSTAR LOGISTICS, L.P.",817,1935
HFOTCO LLC,20,0
SUNOCO PIPELINE L.P.,1,0
COLONIAL PIPELINE CO,4.9,0.8
CRIMSON PIPELINE L.P.,5,5
ENTERPRISE CRUDE PIPELINE LLC,150,0
"PLAINS PIPELINE, L.P.",6,0
"PLAINS PIPELINE, L.P.",0.6,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,2491
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,1.43,2.38
ENTERPRISE PRODUCTS OPERATING LLC,0,4
"ONEOK NGL PIPELINE, LLC",0,4
ENTERPRISE PRODUCTS OPERATING LLC,0,0.04
"MAGELLAN AMMONIA PIPELINE, L.P.",0,16.43
"MAGELLAN AMMONIA PIPELINE, L.P.",0,4.52
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
SUNOCO PIPELINE L.P.,0,5
"BUCKEYE PARTNERS, LP",0,3.5
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
"MARKWEST MICHIGAN PIPELINE, LLC",2.45,0
"MARKWEST MICHIGAN PIPELINE, LLC",5.65,0
"CCPS TRANSPORTATION, LLC",0.12,0
PHILLIPS 66 PIPELINE LLC,26,8
ENTERPRISE CRUDE PIPELINE LLC,0,0
ENTERPRISE CRUDE PIPELINE LLC,10,0
EXPLORER PIPELINE CO,3.48,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
SUNOCO PIPELINE L.P.,20,10
CRIMSON PIPELINE L.P.,490,10
"ONEOK NGL PIPELINE, LLC",0,13
"GENESIS PIPELINE USA, L.P.",0.36,0
EXXONMOBIL OIL CORPORATION-TERMINALS,113,20
MOBIL PACIFIC PIPELINE CO,6,0
"GENESIS FREE STATE PIPELINE, LLC",0,0.1
EXPLORER PIPELINE CO,0.8,0
"BUCKEYE PARTNERS, LP",0.07,0
PHILLIPS 66 PIPELINE LLC,0.76,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,20
KINDER MORGAN WINK PIPELINE LP,0.5,1.25
ROSE ROCK MIDSTREAM L.P.,0,7
"PLAINS PIPELINE, L.P.",0.48,0
ENERGY TRANSFER COMPANY,0,8
"SHELL PIPELINE CO., L.P.",0.24,0
PHILLIPS 66 PIPELINE LLC,0.16,0
"KOCH PIPELINE COMPANY, L.P.",393,7
EXPLORER PIPELINE CO,1.17,0
BP USFO/LOGISTICS,0,0.08
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,5,0
"MAGELLAN PIPELINE COMPANY, LP",0,21
"MAGELLAN TERMINALS HOLDINGS, LP",2.25,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,9,0
"ONEOK NGL PIPELINE, LLC",2.8,0
EXPLORER PIPELINE CO,0.5,0
MOBIL CORP,0,1.2
"PLAINS PIPELINE, L.P.",10,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
"PLAINS PIPELINE, L.P.",1.7,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.5,0.5
SUNOCO PIPELINE L.P.,0,1
ENBRIDGE ENERGY MARKETING LLC,1,0
CHEVRON PIPE LINE CO,0,4357
SUNOCO PIPELINE L.P.,0,7
ENTERPRISE PRODUCTS OPERATING LLC,0.23,0
PHILLIPS 66 PIPELINE LLC,0.2,0
"HARVEST-MARKS PIPELINE, LLC",1,2
ROSE ROCK MIDSTREAM L.P.,125,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
"CHAPARRAL ENERGY, LLC",0,17.8
MARATHON PIPE LINE LLC,20,0
PHILLIPS 66 PIPELINE LLC,160,0
ENTERPRISE CRUDE PIPELINE LLC,20,0
"KOCH PIPELINE COMPANY, L.P.",0.22,0
"THUNDER BASIN PIPELINE, LLC",0,15
SUNOCO PIPELINE L.P.,0.24,0
"KOCH PIPELINE COMPANY, L.P.",0.18,0
"MAGELLAN PIPELINE COMPANY, LP",3.7,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.01
SUNOCO PIPELINE L.P.,7,0
MARATHON PIPE LINE LLC,0.1,0
"PLAINS PIPELINE, L.P.",30,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.71,0
JAYHAWK PIPELINE LLC,100,42.5
"PLAINS PIPELINE, L.P.",20,0
"PLAINS PIPELINE, L.P.",0.48,0
PHILLIPS 66 PIPELINE LLC,200,0
"BUCKEYE PARTNERS, LP",0,2.97
NAVAJO NATION OIL AND GAS COMPANY,2,1
JAYHAWK PIPELINE LLC,30,37
SUNOCO PIPELINE L.P.,0.24,0
"WESTERN REFINING SOUTHWEST, INC",13,2
MID - VALLEY PIPELINE CO,0.24,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,3.5,0.25
ENTERPRISE CRUDE PIPELINE LLC,3500,0
SUNOCO PIPELINE L.P.,0.24,0
SUNOCO PIPELINE L.P.,41,97
SUNOCO PIPELINE L.P.,14,33
"MAGELLAN TERMINALS HOLDINGS, LP",3,0
MARATHON PIPE LINE LLC,50,0
ENTERPRISE PRODUCTS OPERATING LLC,0,716
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",1,0
"ONEOK NGL PIPELINE, LLC",0,2.9
"SHELL PIPELINE CO., L.P.",440,0
DCP MIDSTREAM,0,45
"BUCKEYE PARTNERS, LP",0.36,0
COLONIAL PIPELINE CO,14.6,0
"ENERGY XXI PIPELINE, LLC",1,0
"BUCKEYE PARTNERS, LP",58,7
"BUCKEYE PARTNERS, LP",0.24,0
COLONIAL PIPELINE CO,0.6,0
"SHELL PIPELINE CO., L.P.",5,0
COLONIAL PIPELINE CO,1047.6,190.5
"EXPRESS HOLDINGS (USA), LLC",1.3,0
ROSE ROCK MIDSTREAM L.P.,2,0
"MAGELLAN PIPELINE COMPANY, LP",30,0
"BUCKEYE PARTNERS, LP",0.21,2.19
NATIONAL COOP REFINERY ASSCO,100,10
PLANTATION PIPE LINE CO,0.79,0
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",5,0
"MAGELLAN PIPELINE COMPANY, LP",0.21,2.17
PHILLIPS 66 PIPELINE LLC,0.5,0
"PLAINS PIPELINE, L.P.",186,0
SUNOCO PIPELINE L.P.,10,5
BP USFO/LOGISTICS,0.1,0
PHILLIPS 66 PIPELINE LLC,0.9,0
ROSE ROCK MIDSTREAM L.P.,20,15
"OILTANKING, HOUSTON LP",0.6,0
NATIONAL COOP REFINERY ASSCO,0,0.24
NATIONAL COOP REFINERY ASSCO,0,0.24
"KINDER MORGAN LIQUID TERMINALS, LLC",0.12,0
"BKEP PIPELINE, LLC",25,0
ENTERPRISE CRUDE PIPELINE LLC,60,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",3,0
"ONEOK NGL PIPELINE, LLC",0,2.5
"PLAINS PIPELINE, L.P.",0.5,0
PHILLIPS 66 PIPELINE LLC,0,0.36
SUNOCO PIPELINE L.P.,267,133
"MAGELLAN PIPELINE COMPANY, LP",0.5,0
ENTERPRISE CRUDE PIPELINE LLC,0.25,0
NATIONAL COOP REFINERY ASSCO,0,0.24
"MAGELLAN PIPELINE COMPANY, LP",2,0
ENTERPRISE CRUDE PIPELINE LLC,2,0
"WESTERN REFINING SOUTHWEST, INC",0.5,0.5
WEST SHORE PIPELINE CO,0.88,0.12
COLONIAL PIPELINE CO,16.69,3.31
CHEVRON PIPE LINE CO,0.12,0
CENTURION PIPELINE L.P.,450,25
"BUCKEYE PARTNERS, LP",12,0
"ONEOK NGL PIPELINE, LLC",0,1
"PLAINS PIPELINE, L.P.",0.48,0
"BUCKEYE PARTNERS, LP",0.24,0
COLONIAL PIPELINE CO,1,0.1
"BUCKEYE PARTNERS, LP",0.24,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",5,0
ENTERPRISE PRODUCTS OPERATING LLC,0.02,0
COLONIAL PIPELINE CO,0.13,0
"BUCKEYE PARTNERS, LP",17,0.97
"SHELL PIPELINE CO., L.P.",20,0
"ONEOK NGL PIPELINE, LLC",0,321.5
"PLAINS PIPELINE, L.P.",5,0
EXPLORER PIPELINE CO,0.2,0
"BUCKEYE PARTNERS, LP",7.14,0
TARGA RESOURCES OPERATING LLC,800,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
MOBIL  PIPE  LINE COMPANY,0.26,0
"PLAINS PIPELINE, L.P.",10,0
ENTERPRISE PRODUCTS OPERATING LLC,0.28,0
"MAGELLAN PIPELINE COMPANY, LP",7.3,0
PHILLIPS 66 PIPELINE LLC,3.5,0
MID - VALLEY PIPELINE CO,0.17,0
ENTERPRISE PRODUCTS OPERATING LLC,0,2.5
CHEVRON PRODUCTS COMPANY - HAWAII,3,0
SUNOCO PIPELINE L.P.,0,0.48
MARATHON PIPE LINE LLC,0.2,0
WESTERN REFINING PIPELINE COMPANY,2.5,1.5
TESORO HIGH PLAINS PIPELINE COMPANY LLC,65,0
"PACIFIC COAST ENERGY COMPANY, LP",12,3
"BKEP PIPELINE, LLC",1.5,0
MID - VALLEY PIPELINE CO,0.9,0
COLONIAL PIPELINE CO,0.3,0
"PLAINS PIPELINE, L.P.",12,0
MOBIL CORP,0,0.54
SUNOCO PIPELINE L.P.,10,5
"BKEP PIPELINE, LLC",0,5
GLASS MOUNTAIN PIPELINE,25,5
MID - VALLEY PIPELINE CO,1,0
SUNOCO PIPELINE L.P.,10,10
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",747.7,0
"BKEP PIPELINE, LLC",1,0
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
PHILLIPS 66 PIPELINE LLC,0,0.4
"SHELL PIPELINE CO., L.P.",238,0
SUNOCO PIPELINE L.P.,2.8,0.2
TRI-STATES NGL PIPELINE LLC,0,3
ENTERPRISE PRODUCTS OPERATING LLC,0,0.6
"MAGELLAN PIPELINE COMPANY, LP",0.4,0
"BUCKEYE PARTNERS, LP",0.12,0
"FRONT RANGE PIPELINE, LLC.",1.25,0
"BUCKEYE PARTNERS, LP",0.29,0.42
"CALUMET MONTANA REFINING, LLC",0,1
"PLAINS PIPELINE, L.P.",15,0
"SHELL PIPELINE CO., L.P.",364,0
"BUCKEYE PARTNERS, LP",0.24,0
NORTH DAKOTA PIPELINE COMPANY LLC,3,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",29,1
"MAGELLAN TERMINALS HOLDINGS, LP",0.93,0.07
PHILLIPS 66 PIPELINE LLC,361,0
CITGO PETROLEUM CORPORATION (TERMINALS),11,0
COLONIAL PIPELINE CO,8.2,0
"PLAINS PIPELINE, L.P.",0.24,0
TESORO HIGH PLAINS PIPELINE COMPANY LLC,5,0
"BUCKEYE PARTNERS, LP",16.62,8.38
"BUCKEYE PARTNERS, LP",5,0
SUNOCO PIPELINE L.P.,0.48,0.27
"MAGELLAN AMMONIA PIPELINE, L.P.",0,2
"GENESIS PIPELINE USA, L.P.",0.5,0
NATIONAL COOP REFINERY ASSCO,0,2
WOLVERINE PIPELINE CO,55,9
PHILLIPS 66 PIPELINE LLC,1.55,0
PHILLIPS 66 PIPELINE LLC,39,0
MID - VALLEY PIPELINE CO,442,8
PLANTATION PIPE LINE CO,0.24,0
"PLAINS PIPELINE, L.P.",4,0
"ROADRUNNER PIPELINE, L.L.C.",1,1.5
"MAGELLAN PIPELINE COMPANY, LP",0.47,0.03
"JP ENERGY MARKETING, LLC",34.5,0.5
"HILAND CRUDE, LLC",375,100
NORTH DAKOTA PIPELINE COMPANY LLC,200,0
ENERGY TRANSFER COMPANY,0,3992
PLANTATION PIPE LINE CO,16.2,24.8
"KOCH PIPELINE COMPANY, L.P.",0.44,0
MID - VALLEY PIPELINE CO,2,0
"BKEP PIPELINE, LLC",590,60
PLANTATION PIPE LINE CO,17.85,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",7,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.08
SUNOCO PIPELINE L.P.,1,0
SUNOCO PIPELINE L.P.,3.9,0.1
KINDER MORGAN CRUDE AND CONDENSATE LLC,4.5,0
WEST SHORE PIPELINE CO,1,0
ENTERPRISE CRUDE PIPELINE LLC,20,0
ENTERPRISE PRODUCTS OPERATING LLC,0.24,0
ENTERPRISE PRODUCTS OPERATING LLC,0.71,0
PHILLIPS 66 PIPELINE LLC,1.12,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,31.42
CENTRAL FLORIDA PIPELINE CORP,0.23,0
ROSE ROCK MIDSTREAM L.P.,155,5
SUNOCO PIPELINE L.P.,0,3
PHILLIPS 66 PIPELINE LLC,0,0.19
"BUCKEYE PARTNERS, LP",0.36,0.12
MID - VALLEY PIPELINE CO,1,0
BUTTE PIPELINE CO,1,1
HARVEST PIPELINE COMPANY,0,2
COLONIAL PIPELINE CO,0.79,0
"KOCH PIPELINE COMPANY, L.P.",0.58,0.02
SINCLAIR TRANSPORTATION COMPANY,0,80
"MAGELLAN PIPELINE COMPANY, LP",1.07,0
COLONIAL PIPELINE CO,0.48,0
"PLAINS PIPELINE, L.P.",49,0
ENTERPRISE CRUDE PIPELINE LLC,4.5,0
GLASS MOUNTAIN PIPELINE,0,0.35
KIANTONE PIPELINE CORP,1.9,0.1
"PLAINS PIPELINE, L.P.",500,0
KINDER MORGAN WINK PIPELINE LP,0,173
"PLAINS PIPELINE, L.P.",1,0
"BUCKEYE PARTNERS, LP",2.74,2.26
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.36,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.01
MID - VALLEY PIPELINE CO,2,1
PHILLIPS 66 PIPELINE LLC,0.9,0
"SHELL PIPELINE CO., L.P.",3,0
ENTERPRISE CRUDE PIPELINE LLC,100,0
WEST TEXAS GULF PIPELINE CO,9,3
SUNOCO PIPELINE L.P.,2.9,0.1
COLONIAL PIPELINE CO,4.7,0
"BUCKEYE PARTNERS, LP",0.95,0
