Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
"WHITE CLIFFS PIPELINE, LLC",3,0.5
EXXONMOBIL PIPELINE CO,0,1.5
ENTERPRISE PRODUCTS OPERATING LLC,0,7.52
SUNOCO PIPELINE L.P.,0,6
EXXONMOBIL PIPELINE CO,0.48,0
PLANTATION PIPE LINE CO,0.36,0
ONEOK NGL PIPELINE LP,0,1.5
"KOCH PIPELINE COMPANY, L.P.",0,33.8
MARATHON PIPE LINE LLC,0.29,0
ONEOK NGL PIPELINE LP,0,30
ONEOK NGL PIPELINE LP,0,1.11
MARATHON PIPE LINE LLC,0.6,0
"KINDER MORGAN LIQUID TERMINALS, LLC",7,0
"SFPP, LP",0.94,0
ONEOK NGL PIPELINE LP,0,3.2
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.36
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",18245,1837
CITGO PIPELINE CO,9.4,0.6
EXPLORER PIPELINE CO,197,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.23,0
CENEX PIPELINE LLC,0.27,0.03
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",155,0
SEMGROUP LP,12,8
SUNOCO PIPELINE L.P.,0.5,2.5
"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",0.16,0
WEST TEXAS GULF PIPELINE CO,0.12,0
"SUNOCO, INC (R&M)",0.78,0
MID - VALLEY PIPELINE CO,0,1
"TEPPCO CRUDE PIPELINE, LLC",4,0.5
"MAGELLAN PIPELINE COMPANY, LP",320,0
KINDER MORGAN CO2 CO. LP,0,0.37
"PLAINS PIPELINE, L.P.",3,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.38,0
BP PIPELINE (NORTH AMERICA) INC.,0,3
"BUCKEYE PARTNERS, LP",0.23,0
AMOCO OIL CO,799,121
"PLAINS PIPELINE, L.P.",1,0
ONEOK NGL PIPELINE LP,0,2
TC OIL PIPELINE OPERATIONS INC,0.24,0
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,0.6,0
"MAGELLAN TERMINALS HOLDINGS, LP",14,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,0.38,0
SUNOCO PIPELINE L.P.,2,98
EXPLORER PIPELINE CO,0.6,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,1.43,0
LDH ENERGY MONT BELVIEU L.P.,0,6
"KINDER MORGAN ENERGY PARTNERS, L.P.",0,1
CHEVRON PIPE LINE CO,0,0.02
CONOCOPHILLIPS,0,10
ENTERPRISE PRODUCTS OPERATING LLC,0,3283
EXXONMOBIL PIPELINE CO,0.48,0
CHEVRON PIPE LINE CO,0,4.46
"NUSTAR LOGISTICS, L.P.",0,3
JAYHAWK PIPELINE LLC,0,2
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.71
EXXONMOBIL PIPELINE CO,0,0
CENEX PIPELINE LLC,0,3.6
ALYESKA PIPELINE SERVICE CO,0.12,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.5,0
DIXIE PIPELINE,0,382
ONEOK NGL PIPELINE LP,0,0.85
ONEOK NGL PIPELINE LP,0,0.85
MOBIL CORP,0.37,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",7538,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,0.24,0
"PLAINS MARKETING, L.P.",161,0
EXPLORER PIPELINE CO,189,0
SUNOCO PIPELINE L.P.,0,0.5
ENTERPRISE PRODUCTS OPERATING LLC,0,1.7
"MAGELLAN PIPELINE COMPANY, LP",0.83,0
"BUCKEYE PARTNERS, LP",0.71,0
CHEVRON PIPE LINE CO,0,87
ENTERPRISE PRODUCTS OPERATING LLC,0,200
WEST TEXAS GULF PIPELINE CO,0,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
SUNOCO PIPELINE L.P.,1,1
SUNOCO PIPELINE L.P.,0.83,0.17
SUNOCO PIPELINE L.P.,0.24,0
SUNOCO PIPELINE L.P.,0,1
ENTERPRISE PRODUCTS OPERATING LLC,0,1
SUNOCO PIPELINE L.P.,1,0
ENTERPRISE PRODUCTS OPERATING LLC,80,20
CENTURION PIPELINE L.P.,9950,250
"KINDER MORGAN LIQUID TERMINALS, LLC",2,0
HARBOR PIPELINE CO,0,0
KINDER MORGAN CO2 CO. LP,0,299
CHEVRON PIPE LINE CO,0,6.2
ENTERPRISE CRUDE PIPELINE LLC,0.48,0
ENTERPRISE CRUDE PIPELINE LLC,2,8
MARATHON PIPE LINE LLC,0.83,0
ONEOK NGL PIPELINE LP,0,241
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
COLONIAL PIPELINE CO,3.57,0
COLONIAL PIPELINE CO,3.36,0
