Accident Year,Accident State,Unintentional Release (Barrels)
2015,LA,0.24
2015,LA,8.98
2015,LA,0.6
2015,LA,0.04
2015,LA,1
2015,LA,0.6
2015,LA,0.6
2015,LA,4
2015,LA,3.3
2015,LA,0.52
2015,LA,0.05
2015,LA,13.6
2015,LA,5
2015,LA,220
2016,LA,2853.5
2016,LA,1.02
2016,LA,0.1
2016,LA,4950
2016,LA,123
2016,LA,0.7
2016,LA,47.62
2016,LA,5.8
2016,LA,0.1
2016,LA,0.2
2016,LA,130
2016,LA,16.91
2016,LA,0.18
2016,LA,4
2016,LA,52.2
2016,LA,56
2016,LA,0.24
2016,LA,0.69
2016,LA,160
2016,LA,1.5
2016,LA,7.9
2016,LA,2
2016,LA,0.14
2016,LA,5.1
2016,LA,0.12
2016,LA,580
2010,MI,91
2010,MI,2121
2010,MI,20082
2010,MI,0.24
2010,MI,1
2010,MI,0.24
2010,MI,29
2011,MI,0.95
2011,MI,9000
2011,MI,5
2011,MI,1.3
2012,MI,20
2012,MI,2.38
2012,MI,3
2012,MI,0
2013,MI,0.24
2013,MI,2.39
2013,MI,0.01
2013,MI,0.48
2013,MI,12
2013,MI,2.45
2013,MI,5.65
2014,MI,17.97
2014,MI,0.9
2014,MI,64
2014,MI,0
2015,MI,0.19
2015,MI,22
2016,MI,280
2010,ND,3784
2010,ND,20
2010,ND,40
2010,ND,1
2010,ND,0.38
2010,ND,1.42
2011,ND,0.24
2011,ND,0.76
2011,ND,400
2011,ND,20
2011,ND,200
2011,ND,800
2011,ND,1000
2012,ND,150
2012,ND,76
2012,ND,0.23
2013,ND,0.24
2013,ND,1.5
2013,ND,1
2013,ND,870
2013,ND,2
2013,ND,0.25
2013,ND,20600
2013,ND,118
2013,ND,5
2013,ND,9
2014,ND,800
2014,ND,65
2014,ND,3
2014,ND,5
2014,ND,475
2014,ND,200
2014,ND,0.21
2014,ND,1
2014,ND,0.2
2014,ND,5.7
2015,ND,0.06
2015,ND,0.62
2015,ND,390
2015,ND,27
2016,ND,1
2016,ND,22.1
2016,ND,150
2016,ND,20
2016,ND,1.48
2016,ND,31
2016,ND,0.12
2016,ND,4
2016,ND,4200
2010,OK,53
2010,OK,21
2010,OK,445
2010,OK,13718
2010,OK,7
2010,OK,0.25
2010,OK,0.12
2010,OK,3
2010,OK,0.02
2010,OK,85
2010,OK,11
2010,OK,6
2010,OK,1
2010,OK,1
2010,OK,3.5
2010,OK,1.5
2010,OK,30
2010,OK,1.11
2010,OK,320
2010,OK,1
2010,OK,0.6
2010,OK,0.71
2010,OK,0.48
2010,OK,3.53
2010,OK,2
2010,OK,0.48
2010,OK,15
2010,OK,0.19
2010,OK,286
2010,OK,199
2011,OK,406
2011,OK,2
2011,OK,0.95
2011,OK,1250
2011,OK,0.36
2011,OK,9
2011,OK,78
2011,OK,50
2011,OK,600
2011,OK,0.12
2011,OK,25
2011,OK,100
2011,OK,1
2011,OK,4.5
2011,OK,1.43
2011,OK,121
2011,OK,0.23
2011,OK,4.88
2011,OK,19
2011,OK,3.44
2011,OK,0.6
2011,OK,0.74
2011,OK,0.23
2011,OK,0.24
2011,OK,4.5
2011,OK,19.86
2011,OK,1.7
2011,OK,2
2011,OK,25
2011,OK,17
2011,OK,3299
2011,OK,0.35
2011,OK,3
2011,OK,5
2011,OK,0.23
2011,OK,0.47
2011,OK,140
2011,OK,360
2011,OK,250
2012,OK,33.79
2012,OK,0.14
2012,OK,32
2012,OK,100
2012,OK,2
2012,OK,0.24
2012,OK,600
2012,OK,1.84
2012,OK,5
2012,OK,0.5
2012,OK,15
2012,OK,0.71
2012,OK,7
2012,OK,5
2012,OK,3
2012,OK,0.48
2012,OK,211
2012,OK,1
2012,OK,1
2012,OK,0.5
2012,OK,75
2012,OK,1
2012,OK,0.83
2012,OK,0.6
2012,OK,200
2012,OK,35
2012,OK,2
2012,OK,38.5
2013,OK,1
2013,OK,4
2013,OK,1
2013,OK,3
2013,OK,12
2013,OK,0.25
2013,OK,0.36
2013,OK,10
2013,OK,75
2013,OK,1
2013,OK,3
2013,OK,5
2013,OK,0.28
2013,OK,2
2013,OK,0.27
2013,OK,2246
2013,OK,1
2013,OK,200
2013,OK,85
2013,OK,535
2013,OK,0.47
2013,OK,491
2013,OK,1
2013,OK,6
2013,OK,4
2013,OK,7
2013,OK,2.25
2013,OK,2.8
2013,OK,1.7
2013,OK,7
2013,OK,125
2013,OK,17.8
2013,OK,20
2013,OK,7
2013,OK,30
2013,OK,200
2013,OK,3.75
2013,OK,138
2013,OK,47
2014,OK,45
2014,OK,30
2014,OK,25
2014,OK,2
2014,OK,321.5
2014,OK,1.5
2014,OK,5
2014,OK,30
2014,OK,1
2014,OK,1.5
2014,OK,1
2014,OK,361
2014,OK,35
2014,OK,4
2014,OK,160
2014,OK,0.35
2014,OK,3
2014,OK,65
2014,OK,0.71
2014,OK,176
2014,OK,2.5
2014,OK,0.5
2014,OK,4.2
2014,OK,0.36
2014,OK,0.7
2014,OK,0.17
2014,OK,52
2014,OK,1
2014,OK,3.4
2014,OK,115
2014,OK,8.9
2014,OK,1
2014,OK,2
2014,OK,15
2014,OK,30
2014,OK,1
2014,OK,13
2014,OK,0.2
2014,OK,0.24
2014,OK,6
2015,OK,0.5
2015,OK,1
2015,OK,1
2015,OK,6.9
2015,OK,0.5
2015,OK,760
2015,OK,0.2
2015,OK,0.5
2015,OK,0.2
2015,OK,0.18
2015,OK,5
2015,OK,0.2
2015,OK,8
2015,OK,4.4
2015,OK,8
2015,OK,0.26
2015,OK,0.24
2015,OK,0.1
2015,OK,4.5
2015,OK,0.18
2015,OK,0.5
2015,OK,1
2015,OK,400
2015,OK,28
2015,OK,20
2015,OK,30
2015,OK,20
2015,OK,0.29
2015,OK,6
2015,OK,632
2015,OK,1181
2015,OK,225
2015,OK,1000
2015,OK,21
2015,OK,2
2016,OK,4
2016,OK,11
2016,OK,1
2016,OK,20
2016,OK,152
2016,OK,0
2016,OK,0.2
2016,OK,0.2
2016,OK,0.48
2016,OK,2.6
2016,OK,100.1
2016,OK,50
2016,OK,24
2016,OK,25
2016,OK,1
2016,OK,0.12
2016,OK,3
2016,OK,7.2
2016,OK,22
2016,OK,5
2016,OK,5
2016,OK,7603
2016,OK,5
2016,OK,75
2016,OK,1
2010,TX,700
2010,TX,35
2010,TX,0.24
2010,TX,0.4
2010,TX,0.48
2010,TX,3
2010,TX,6
2010,TX,0.6
2010,TX,8
2010,TX,9
2010,TX,1
2010,TX,198
2010,TX,1
2010,TX,1
2010,TX,0.12
2010,TX,0.6
2010,TX,0.47
2010,TX,0.71
2010,TX,0.71
2010,TX,0.36
2010,TX,0.1
2010,TX,0.84
2010,TX,15
2010,TX,0.12
2010,TX,0.25
2010,TX,0.6
2010,TX,1
2010,TX,0.53
2010,TX,9
2010,TX,3
2010,TX,13
2010,TX,70
2010,TX,1
2010,TX,4.1
2010,TX,4
2010,TX,4.5
2010,TX,0.36
2010,TX,0.83
2010,TX,2
2010,TX,1
2010,TX,4618
2010,TX,2
2010,TX,3
2010,TX,0.5
2010,TX,2.11
2010,TX,0.14
2010,TX,2
2010,TX,1.5
2010,TX,7.52
2010,TX,6
2010,TX,0.48
2010,TX,33.8
2010,TX,3.2
2010,TX,10
2010,TX,3
2010,TX,0.12
2010,TX,4.5
2010,TX,0.37
2010,TX,3
2010,TX,0.38
2010,TX,3
2010,TX,2
2010,TX,14
2010,TX,100
2010,TX,6
2010,TX,1
2010,TX,0.02
2010,TX,0.48
2010,TX,4.46
2010,TX,3
2010,TX,0.37
2010,TX,189
2010,TX,0.5
2010,TX,0.83
2010,TX,87
2010,TX,200
2010,TX,2
2010,TX,2
2010,TX,1
2010,TX,0.24
2010,TX,1
2010,TX,100
2010,TX,10200
2010,TX,299
2010,TX,6.2
2010,TX,10
2010,TX,241
2010,TX,0.12
2010,TX,3.57
2010,TX,3.36
2010,TX,0.5
2010,TX,20
2010,TX,0.48
2010,TX,15
2010,TX,0.71
2010,TX,25
2010,TX,100
2010,TX,10
2010,TX,3
2010,TX,26
2010,TX,0.24
2010,TX,83
2010,TX,0.83
2010,TX,75
2010,TX,6
2010,TX,3
2010,TX,1
2010,TX,2
2010,TX,1
2010,TX,0.67
2010,TX,7
2010,TX,0.48
2010,TX,125
2011,TX,0.5
2011,TX,5
2011,TX,1.7
2011,TX,1
2011,TX,0.71
2011,TX,0.02
2011,TX,0.14
2011,TX,5
2011,TX,20
2011,TX,23
2011,TX,6911
2011,TX,5.6
2011,TX,1000
2011,TX,0.24
2011,TX,288.5
2011,TX,0
2011,TX,40
2011,TX,0.5
2011,TX,40
2011,TX,4
2011,TX,2.4
2011,TX,0.74
2011,TX,1
2011,TX,482
2011,TX,0.53
2011,TX,2
2011,TX,1
2011,TX,4
2011,TX,12
2011,TX,40
2011,TX,1
2011,TX,115
2011,TX,4
2011,TX,0.24
2011,TX,1
2011,TX,1
2011,TX,8
